created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,,,,,,,,,,,,,,,
Sat Aug 05 23:09:27 +0000 2023,1.68796E+18,@dapitnih @PKSejahtera @aniesbaswedan PKS bikin Capres sendiri aja..,0,0,0,0,in,1.562E+18,1.68772E+18,nuryadirahman7,https://twitter.com/nuryadirahman7/status/1687964060305010689,,,,,,,,,,,,,,,
Sat Aug 05 23:03:50 +0000 2023,1.68796E+18,@AREAJULID Tag ke salah satu Capres min! Kasih tau dia,0,0,0,0,in,7.57749E+17,1.68784E+18,rulzsoul,https://twitter.com/rulzsoul/status/1687962646702854144,,,,,,,,,,,,,,,
Sat Aug 05 23:00:27 +0000 2023,1.68796E+18,@KakekHalal @ulinyusron Numpang tanya emangnya ada capres yg minta Gibran jadi Cawapres ? Rasa rasanya gak ada,,,,,,,,,,,,,,,,,,,,,,,,
Sat Aug 05 22:58:44 +0000 2023,1.68796E+18,@Dennysiregar7 PDIP emang paten dlm memilih capres. Patuh dan ikhlas jd petugas mereka. Alhamdulillah stelah bertahun2 berjuang PDIP akhirnya jd penguasa. Dua periode cukup bg rakyat tahu siapa mrk. Smoga mrk ga penasaran lg jd pemenang krn stelah th 2024,0,0,0,0,in,1.03603E+18,1.68779E+18,makrete,https://twitter.com/makrete/status/1687961364151828480,,,,,,,,,,,,,,,
Sat Aug 05 22:56:49 +0000 2023,1.68796E+18,"@abwnews_ Nnti ggal capres anies 🤣🤣🤣 anies masuk bursa wakil prabowo sma rocky ank buah prabowo dan anies mnghina asli pribumi aj""",0,0,0,2,in,1.05202E+18,1.68775E+18,aday76488718,https://twitter.com/aday76488718/status/1687960880133423104,,,,,,,,,,,,,,,
Sat Aug 05 22:56:38 +0000 2023,1.68796E+18,Pemilu 2024:dukungan partai pada pencapresan sebenarnya tak menentukan jika ada figur capres benar2 disukai rakyat.peran partai misal PDIP sekilas nampak hampir semua rakyat jadi anggot PDIP sedang faktanya prosentasi hanya sebagian rakyat saja.juga Nasdem yang gencar sosialisasi,0,0,0,0,in,1.56087E+18,1.68796E+18,Donisetiyawana1,https://twitter.com/Donisetiyawana1/status/1687960836470628352,,,,,,,,,,,,,,,
Sat Aug 05 22:55:22 +0000 2023,1.68796E+18,@KompasTV Itulah kehebatan capres ini gerak cepat salah benar nanti,0,0,0,0,in,1.68012E+18,1.68161E+18,MoyaAnak1167,https://twitter.com/MoyaAnak1167/status/1687960515363090432,,,,,,,,,,,,,,,
Sat Aug 05 22:55:01 +0000 2023,1.68796E+18,#MisteriPemiluCurang2019  Capres Anies Rasyid Baswedan? tnp kampanye? insyaa Allah menang,,,,,,,,,,,,,,,,,,,,,,,,
Sat Aug 05 22:54:56 +0000 2023,1.68796E+18,Kader-kader PSI selalu mengaitkan kemana telunjuk Pak Owi mengarah soal capres 2024,,,,,,,,,,,,,,,,,,,,,,,,
Sat Aug 05 22:51:32 +0000 2023,1.68796E+18,@PDI_Perjuangan Ini capres di tekankan untuk landasan kesejahteran rakyat 😟tapi pada waktu dia president tak ada kesejahteraan rakyat yg ada kesusahan rakyat😮Ignorantly,0,0,0,0,in,483473604,1.68733E+18,jmelive,https://twitter.com/jmelive/status/1687959550442553344,,,,,,,,,,,,,,,
